Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10.8,0,0,0,0
11.8,37,0,9,31
12.9,48,0,9,40
13.9,100,0,9,96
14.9,100,0,4,95
15.9,100,1,4,98
16.9,100,1,4,99
17.9,99,1,6,96
18.9,78,0,5,75
19.9,21,0,2,18
20.9,18,0,2,13
21.9,49,0,2,46
22.9,19,0,2,14
23.9,18,0,3,13
24.9,48,0,2,45
25.9,16,0,2,13
26.9,51,0,2,42
27.9,20,0,2,17
28.9,18,0,3,13
29.9,47,0,3,41
30.9,16,0,2,13
31.9,16,0,2,13
32.9,45,0,3,41
33.9,16,0,2,13
34.9,41,0,3,38
35.9,18,0,3,17
36.9,14,0,2,13
37.9,44,0,2,42
38.9,18,0,1,15
39.9,15,0,2,13
40.9,45,0,2,43
41.9,20,0,2,14
42.9,44,0,3,40
43.9,16,0,3,14
44.9,16,0,2,12
45.9,46,0,3,44
46.9,19,0,3,15
47.9,16,0,2,14
48.9,49,0,2,47
49.9,17,0,3,14
50.9,44,0,3,40
51.9,23,0,2,21
52.9,19,0,1,16
53.9,48,0,2,45
54.9,19,0,1,13
55.9,18,0,2,14
56.9,45,0,1,43
57.9,19,0,2,15
58.9,42,0,3,40
59.9,20,0,1,17
