Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
25.6,400.734,24.117,60.293,1215.3
26.6,433.874,168.821,39.846,1215.3
27.6,433.874,263.193,39.846,1215.3
28.6,433.874,350.224,39.846,1215.3
29.6,456.777,510.657,35.127,1215.3
30.6,456.777,71.303,56.099,1215.3
31.6,456.777,411.042,56.099,1215.3
32.6,485.933,371.196,39.846,1215.3
33.6,485.933,462.422,39.846,1215.3
34.6,508.717,229.638,44.564,1215.3
35.6,508.717,318.767,44.564,1215.3
36.6,508.717,411.042,44.564,1215.3
37.6,534.43,235.93,42.992,1215.3
38.7,534.43,332.399,42.992,1215.3
39.7,548.731,232.784,41.943,1215.3
40.7,559.962,300.941,43.068,1215.3
41.7,559.962,395.313,43.068,1215.3
42.7,586.149,308.281,40.37,1215.3
43.7,586.149,400.556,40.37,1215.3
44.7,599.652,76.546,38.797,1215.3
45.7,622.601,56.623,34.603,1215.3
46.7,622.601,138.412,34.603,1215.3
47.7,635.215,120.586,30.933,1215.3
48.7,644.846,268.435,32.583,1215.3
49.7,644.846,360.71,32.583,1215.3
50.7,674.59,75.497,32.506,1215.3
51.7,674.59,167.772,32.506,1215.3
52.7,674.59,263.193,32.506,1215.3
53.7,705.126,14.68,33.03,1215.3
54.7,705.126,108.003,33.03,1215.3
55.7,723.234,170.918,18.35,1215.3
