Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.0,64,0,3,61
26.0,30,0,1,23
27.0,56,0,2,44
28.0,43,0,2,36
29.0,27,0,1,23
30.0,65,0,2,53
31.0,24,0,1,22
32.0,26,0,1,24
33.0,59,0,3,56
34.0,29,0,2,23
35.0,49,0,1,44
36.0,41,0,2,36
37.0,25,0,1,21
38.0,60,0,2,57
39.0,23,0,1,21
40.0,22,0,1,21
41.0,62,0,3,60
42.0,28,0,2,25
43.0,47,0,2,44
44.0,38,0,2,34
45.0,25,0,1,19
46.0,58,0,3,55
47.0,26,0,2,23
48.0,24,0,1,20
49.0,57,0,4,54
50.0,28,0,2,22
51.0,46,0,3,42
52.0,34,0,3,32
53.0,24,0,2,23
54.0,57,0,3,55
